region_cluster_id	n_raw_intervals	n_member_intervals	n_transcripts	n_genes	n_gene_symbols	total_member_bp	mean_member_len	median_member_len	min_member_len	max_member_len	representative_transcript_id	representative_gene_id	representative_transcript_name	representative_gene_symbol	representative_transcript_length	representative_start	representative_end	representative_region_len	top_gene_symbols	source_n_member_intervals	source_n_transcripts	source_n_genes	source_total_member_bp	representative_transcript_header
SR0003449	4	2	2	2	2	236	118.00	118.00	118	118	ENST00000567129.1	ENSG00000261447.1	ENST00000567129	ENSG00000261447	965	101	218	118	ENSG00000261447:1;ENSG00000298921:1	2	2	2	236	ENST00000567129.1|ENSG00000261447.1|OTTHUMG00000175664.1|OTTHUMT00000430758.1|ENST00000567129|ENSG00000261447|965|
SR0003450	4	2	2	2	2	258	129.00	129.00	129	129	ENST00000846462.1	ENSG00000309992.1	ENST00000846462	ENSG00000309992	459	295	423	129	ENSG00000309992:1;ENSG00000310011:1	2	2	2	258	ENST00000846462.1|ENSG00000309992.1|-|-|ENST00000846462|ENSG00000309992|459|
SR0003451	2	2	2	2	2	214	107.00	107.00	107	107	ENST00000501718.2	ENSG00000247011.3	ENST00000501718	ENSG00000247011	2054	1310	1416	107	ENSG00000247011:1;TOB1-AS1:1	2	2	2	214	ENST00000501718.2|ENSG00000247011.3|OTTHUMG00000162317.1|OTTHUMT00000368558.1|ENST00000501718|ENSG00000247011|2054|
SR0003452	4	2	2	2	2	622	311.00	311.00	311	311	ENST00000429230.1	ENSG00000226716.1	ENST00000429230	ENSG00000226716	789	122	432	311	ENSG00000226716:1;ENSG00000293250:1	2	2	2	622	ENST00000429230.1|ENSG00000226716.1|OTTHUMG00000013065.1|OTTHUMT00000036670.1|ENST00000429230|ENSG00000226716|789|
SR0003453	4	2	2	2	2	472	236.00	236.00	236	236	ENST00000792634.1	ENSG00000303191.1	ENST00000792634	ENSG00000303191	658	1	236	236	ENSG00000303191:1;ENSG00000303207:1	2	2	2	472	ENST00000792634.1|ENSG00000303191.1|-|-|ENST00000792634|ENSG00000303191|658|
SR0003454	4	2	2	2	2	3170	1585.00	1585.00	1585	1585	ENST00000606540.1	ENSG00000272347.1	ENST00000606540	ENSG00000272347	1585	1	1585	1585	ENSG00000272347:1;ENSG00000281521:1	2	2	2	3170	ENST00000606540.1|ENSG00000272347.1|OTTHUMG00000185407.1|OTTHUMT00000470457.1|ENST00000606540|ENSG00000272347|1585|
SR0003455	4	2	2	2	2	1072	536.00	536.00	536	536	ENST00000573856.1	ENSG00000262171.1	ENST00000573856	ENSG00000262171	536	1	536	536	ENSG00000262171:1;ENSG00000282412:1	2	2	2	1072	ENST00000573856.1|ENSG00000262171.1|OTTHUMG00000177352.1|OTTHUMT00000436388.1|ENST00000573856|ENSG00000262171|536|
SR0003456	4	2	2	2	2	162	81.00	81.00	81	81	ENST00000757549.1	ENSG00000298716.1	ENST00000757549	ENSG00000298716	1006	710	790	81	ENSG00000298716:1;ENSG00000298753:1	2	2	2	162	ENST00000757549.1|ENSG00000298716.1|-|-|ENST00000757549|ENSG00000298716|1006|
SR0003457	4	2	2	2	2	170	85.00	85.00	85	85	ENST00000622120.2	ENSG00000204054.15	LINC00963-213	LINC00963	1464	255	339	85	LINC00963:1;ENSG00000309757:1	2	2	2	170	ENST00000622120.2|ENSG00000204054.15|OTTHUMG00000020783.66|OTTHUMT00000476086.2|LINC00963-213|LINC00963|1464|
SR0003458	4	2	2	2	2	342	171.00	171.00	171	171	ENST00000669229.1	ENSG00000255745.3	ENST00000669229	ENSG00000255745	1281	219	389	171	ENSG00000255745:1;ENSG00000302950:1	2	2	2	342	ENST00000669229.1|ENSG00000255745.3|OTTHUMG00000169029.8|OTTHUMT00000511564.1|ENST00000669229|ENSG00000255745|1281|
SR0003459	4	2	2	2	2	276	138.00	138.00	138	138	ENST00000655176.1	ENSG00000287144.2	ENST00000655176	ENSG00000287144	1468	771	908	138	ENSG00000287144:1;LINC00616:1	2	2	2	276	ENST00000655176.1|ENSG00000287144.2|OTTHUMG00000194210.1|OTTHUMT00000512696.1|ENST00000655176|ENSG00000287144|1468|
SR0003460	4	2	2	2	2	2964	1482.00	1482.00	1482	1482	ENST00000332881.3	ENSG00000183562.3	ENST00000332881	ENSG00000183562	1482	1	1482	1482	ENSG00000183562:1;ENSG00000282438:1	2	2	2	2964	ENST00000332881.3|ENSG00000183562.3|OTTHUMG00000187445.1|OTTHUMT00000474985.1|ENST00000332881|ENSG00000183562|1482|
SR0003461	4	2	2	2	2	278	139.00	139.00	139	139	ENST00000791579.1	ENSG00000303074.1	ENST00000791579	ENSG00000303074	1387	34	172	139	ENSG00000303074:1;ENSG00000303087:1	2	2	2	278	ENST00000791579.1|ENSG00000303074.1|-|-|ENST00000791579|ENSG00000303074|1387|
SR0003462	4	2	2	2	2	680	340.00	340.00	327	353	ENST00000841853.1	ENSG00000309531.1	ENST00000841853	ENSG00000309531	644	11	363	353	ENSG00000301008:1;ENSG00000309531:1	2	2	2	680	ENST00000841853.1|ENSG00000309531.1|-|-|ENST00000841853|ENSG00000309531|644|
SR0003463	4	2	2	2	2	1090	545.00	545.00	544	546	ENST00000631963.1	ENSG00000282454.1	ENST00000631963	ENSG00000282454	546	1	546	546	ENSG00000276707:1;ENSG00000282454:1	2	2	2	1090	ENST00000631963.1|ENSG00000282454.1|OTTHUMG00000191236.1|OTTHUMT00000487213.1|ENST00000631963|ENSG00000282454|546|
SR0003464	4	2	2	2	2	1014	507.00	507.00	507	507	ENST00000378432.1	ENSG00000205041.1	ENST00000378432	ENSG00000205041	1462	1	507	507	ENSG00000205041:1;ENSG00000308179:1	2	2	2	1014	ENST00000378432.1|ENSG00000205041.1|OTTHUMG00000178320.1|OTTHUMT00000441512.1|ENST00000378432|ENSG00000205041|1462|
SR0003465	4	2	2	2	2	658	329.00	329.00	329	329	ENST00000689682.2	ENSG00000239941.2	LINC02917-203	LINC02917	1900	1572	1900	329	LINC02917:1;ENSG00000301809:1	2	2	2	658	ENST00000689682.2|ENSG00000239941.2|OTTHUMG00000159881.1|-|LINC02917-203|LINC02917|1900|
SR0003466	4	2	2	2	2	808	404.00	404.00	404	404	ENST00000606988.1	ENSG00000272516.1	ENST00000606988	ENSG00000272516	584	181	584	404	ENSG00000272516:1;ENSG00000271981:1	2	2	2	808	ENST00000606988.1|ENSG00000272516.1|OTTHUMG00000185317.1|OTTHUMT00000470158.1|ENST00000606988|ENSG00000272516|584|
SR0003467	4	2	2	2	2	472	236.00	236.00	236	236	ENST00000607282.2	ENSG00000271981.2	ENST00000607282	ENSG00000271981	1859	756	991	236	ENSG00000271981:1;ENSG00000294259:1	2	2	2	472	ENST00000607282.2|ENSG00000271981.2|OTTHUMG00000185318.1|OTTHUMT00000470159.1|ENST00000607282|ENSG00000271981|1859|
SR0003468	4	2	2	2	2	490	245.00	245.00	245	245	ENST00000755548.1	ENSG00000298446.1	ENST00000755548	ENSG00000298446	713	1	245	245	ENSG00000298446:1;ENSG00000236230:1	2	2	2	490	ENST00000755548.1|ENSG00000298446.1|-|-|ENST00000755548|ENSG00000298446|713|
SR0003469	4	2	2	2	2	547	273.50	273.50	272	275	ENST00000731956.1	ENSG00000291130.2	ENST00000731956	ENSG00000291130	722	448	722	275	ENSG00000291130:1;ENSG00000269043:1	2	2	2	547	ENST00000731956.1|ENSG00000291130.2|-|-|ENST00000731956|ENSG00000291130|722|
SR0003470	4	2	2	2	2	498	249.00	249.00	249	249	ENST00000690029.2	ENSG00000289539.2	ENST00000690029	ENSG00000289539	1079	754	1002	249	ENSG00000289539:1;ENSG00000309594:1	2	2	2	498	ENST00000690029.2|ENSG00000289539.2|-|-|ENST00000690029|ENSG00000289539|1079|
SR0003471	4	2	2	2	2	216	108.00	108.00	108	108	ENST00000673983.1	ENSG00000288555.2	ENST00000673983	ENSG00000288555	2694	2587	2694	108	ENSG00000288555:1;ENSG00000303916:1	2	2	2	216	ENST00000673983.1|ENSG00000288555.2|OTTHUMG00000195948.1|OTTHUMT00000530078.1|ENST00000673983|ENSG00000288555|2694|
SR0003472	4	2	2	2	2	194	97.00	97.00	96	98	ENST00000841967.1	ENSG00000258743.9	LINC02301-235	LINC02301	868	429	526	98	ENSG00000280215:1;LINC02301:1	2	2	2	194	ENST00000841967.1|ENSG00000258743.9|OTTHUMG00000171387.10|-|LINC02301-235|LINC02301|868|
SR0003473	4	2	2	2	2	3532	1766.00	1766.00	1766	1766	ENST00000571197.1	ENSG00000262160.1	ENST00000571197	ENSG00000262160	3177	1412	3177	1766	ENSG00000262160:1;ENSG00000263276:1	2	2	2	3532	ENST00000571197.1|ENSG00000262160.1|OTTHUMG00000177997.1|OTTHUMT00000440184.1|ENST00000571197|ENSG00000262160|3177|
SR0003474	4	2	2	2	2	264	132.00	132.00	132	132	ENST00000315707.5	ENSG00000178977.5	LINC00324-201	LINC00324	2108	721	852	132	LINC00324:1;ENSG00000305852:1	2	2	2	264	ENST00000315707.5|ENSG00000178977.5|OTTHUMG00000132866.4|OTTHUMT00000256341.1|LINC00324-201|LINC00324|2108|
SR0003475	4	2	2	2	2	446	223.00	223.00	223	223	ENST00000580639.1	ENSG00000265101.1	ENST00000580639	ENSG00000265101	523	138	360	223	ENSG00000265101:1;ENSG00000287758:1	2	2	2	446	ENST00000580639.1|ENSG00000265101.1|OTTHUMG00000179400.1|OTTHUMT00000446091.1|ENST00000580639|ENSG00000265101|523|
SR0003476	4	2	2	2	2	450	225.00	225.00	225	225	ENST00000767972.1	ENSG00000300014.1	ENST00000767972	ENSG00000300014	1154	368	592	225	ENSG00000300014:1;ENSG00000300038:1	2	2	2	450	ENST00000767972.1|ENSG00000300014.1|-|-|ENST00000767972|ENSG00000300014|1154|
SR0003477	4	2	2	2	2	398	199.00	199.00	199	199	ENST00000565815.1	ENSG00000261206.1	LINC00561-201	LINC00561	2738	201	399	199	LINC00561:1;ENSG00000309105:1	2	2	2	398	ENST00000565815.1|ENSG00000261206.1|OTTHUMG00000176038.1|OTTHUMT00000431411.1|LINC00561-201|LINC00561|2738|
SR0003478	2	2	2	2	2	348	174.00	174.00	174	174	ENST00000543404.5	ENSG00000291190.1	A2MP1-202	A2MP1	1201	133	306	174	A2MP1:1;LINC00987:1	2	2	2	348	ENST00000543404.5|ENSG00000291190.1|-|OTTHUMT00000399345.2|A2MP1-202|A2MP1|1201|
SR0003479	4	2	2	2	2	578	289.00	289.00	289	289	ENST00000608161.1	ENSG00000272783.1	ENST00000608161	ENSG00000272783	289	1	289	289	ENSG00000272783:1;ENSG00000288231:1	2	2	2	578	ENST00000608161.1|ENSG00000272783.1|OTTHUMG00000186229.1|OTTHUMT00000472449.1|ENST00000608161|ENSG00000272783|289|
SR0003480	4	2	2	2	2	292	146.00	146.00	146	146	ENST00000845050.1	ENSG00000249479.2	ENST00000845050	ENSG00000249479	579	230	375	146	ENSG00000249479:1;LINC02272:1	2	2	2	292	ENST00000845050.1|ENSG00000249479.2|OTTHUMG00000161777.1|-|ENST00000845050|ENSG00000249479|579|
SR0003481	4	2	2	2	2	230	115.00	115.00	115	115	ENST00000539391.1	ENSG00000256596.2	ENST00000539391	ENSG00000256596	2256	850	964	115	ENSG00000256596:1;ENSG00000308522:1	2	2	2	230	ENST00000539391.1|ENSG00000256596.2|OTTHUMG00000168607.1|OTTHUMT00000400389.1|ENST00000539391|ENSG00000256596|2256|
SR0003482	4	2	2	2	2	586	293.00	293.00	293	293	ENST00000551194.1	ENSG00000291295.1	ENST00000551194	ENSG00000291295	564	1	293	293	ENSG00000291295:1;TROAP-AS1:1	2	2	2	586	ENST00000551194.1|ENSG00000291295.1|OTTHUMG00000167140.8|OTTHUMT00000404378.1|ENST00000551194|ENSG00000291295|564|
SR0003483	4	2	2	2	2	164	82.00	82.00	82	82	ENST00000551194.1	ENSG00000291295.1	ENST00000551194	ENSG00000291295	564	386	467	82	ENSG00000291295:1;TROAP-AS1:1	2	2	2	164	ENST00000551194.1|ENSG00000291295.1|OTTHUMG00000167140.8|OTTHUMT00000404378.1|ENST00000551194|ENSG00000291295|564|
SR0003484	4	2	2	2	2	709	354.50	354.50	348	361	ENST00000798081.1	ENSG00000303921.1	ENST00000798081	ENSG00000303921	537	115	475	361	ENSG00000302265:1;ENSG00000303921:1	2	2	2	709	ENST00000798081.1|ENSG00000303921.1|-|-|ENST00000798081|ENSG00000303921|537|
SR0003485	4	2	2	2	2	888	444.00	444.00	444	444	ENST00000825162.1	ENSG00000173077.17	DELEC1-214	DELEC1	1162	275	718	444	DELEC1:1;ENSG00000236461:1	2	2	2	888	ENST00000825162.1|ENSG00000173077.17|OTTHUMG00000020549.2|-|DELEC1-214|DELEC1|1162|
SR0003486	2	2	2	2	2	202	101.00	101.00	101	101	ENST00000645498.2	ENSG00000284839.2	ENST00000645498	ENSG00000284839	2303	1965	2065	101	ENSG00000284839:1;ENSG00000289566:1	2	2	2	202	ENST00000645498.2|ENSG00000284839.2|OTTHUMG00000192555.1|OTTHUMT00000496076.1|ENST00000645498|ENSG00000284839|2303|
SR0003487	4	2	2	2	2	382	191.00	191.00	191	191	ENST00000743326.1	ENSG00000296881.1	ENST00000743326	ENSG00000296881	769	203	393	191	ENSG00000296881:1;ENSG00000296899:1	2	2	2	382	ENST00000743326.1|ENSG00000296881.1|-|-|ENST00000743326|ENSG00000296881|769|
SR0003488	2	2	2	2	2	174	87.00	87.00	87	87	ENST00000666189.1	ENSG00000286804.1	ENST00000666189	ENSG00000286804	829	743	829	87	ENSG00000286804:1;FBXO16-AS1:1	2	2	2	174	ENST00000666189.1|ENSG00000286804.1|OTTHUMG00000195502.1|OTTHUMT00000527240.1|ENST00000666189|ENSG00000286804|829|
SR0003489	4	2	2	2	1	5328	2664.00	2664.00	2664	2664	ENST00000499962.1	ENSG00000247473.2	CARS1-AS1-201	CARS1-AS1	2664	1	2664	2664	CARS1-AS1:2	2	2	2	5328	ENST00000499962.1|ENSG00000247473.2|OTTHUMG00000165360.1|OTTHUMT00000383601.1|CARS1-AS1-201|CARS1-AS1|2664|
SR0003490	4	2	2	2	2	318	159.00	159.00	159	159	ENST00000624058.1	ENSG00000278962.1	ENST00000624058	ENSG00000278962	2272	1530	1688	159	ENSG00000278962:1;ENSG00000304406:1	2	2	2	318	ENST00000624058.1|ENSG00000278962.1|OTTHUMG00000176143.1|OTTHUMT00000431564.1|ENST00000624058|ENSG00000278962|2272|
SR0003491	4	2	2	2	2	240	120.00	120.00	118	122	ENST00000719978.1	ENSG00000292998.2	MIR3171HG-206	MIR3171HG	510	385	506	122	HEATR5A-DT:1;MIR3171HG:1	2	2	2	240	ENST00000719978.1|ENSG00000292998.2|-|-|MIR3171HG-206|MIR3171HG|510|
SR0003492	4	2	2	2	2	422	211.00	211.00	211	211	ENST00000786109.1	ENSG00000289116.2	ENST00000786109	ENSG00000289116	745	186	396	211	ENSG00000289116:1;ENSG00000302370:1	2	2	2	422	ENST00000786109.1|ENSG00000289116.2|-|-|ENST00000786109|ENSG00000289116|745|
SR0003493	4	2	2	2	2	396	198.00	198.00	198	198	ENST00000444017.1	ENSG00000236634.1	ENST00000444017	ENSG00000236634	588	1	198	198	ENSG00000236634:1;ENSG00000237843:1	2	2	2	396	ENST00000444017.1|ENSG00000236634.1|OTTHUMG00000154543.1|OTTHUMT00000335869.1|ENST00000444017|ENSG00000236634|588|
SR0003494	4	2	2	2	2	370	185.00	185.00	185	185	ENST00000632382.1	ENSG00000282428.1	ENST00000632382	ENSG00000282428	185	1	185	185	ENSG00000282428:1;ENSG00000282472:1	2	2	2	370	ENST00000632382.1|ENSG00000282428.1|OTTHUMG00000190598.1|OTTHUMT00000485297.1|ENST00000632382|ENSG00000282428|185|
SR0003495	4	2	2	2	2	324	162.00	162.00	162	162	ENST00000568091.4	ENSG00000290756.3	ENST00000568091	ENSG00000290756	1880	883	1044	162	ENSG00000290756:1;ENSG00000301302:1	2	2	2	324	ENST00000568091.4|ENSG00000290756.3|-|OTTHUMT00000479141.1|ENST00000568091|ENSG00000290756|1880|
SR0003496	4	2	2	2	2	288	144.00	144.00	144	144	ENST00000730366.1	ENSG00000288922.3	ENST00000730366	ENSG00000288922	1635	1	144	144	ENSG00000288922:1;ENSG00000295496:1	2	2	2	288	ENST00000730366.1|ENSG00000288922.3|-|-|ENST00000730366|ENSG00000288922|1635|
SR0003497	4	2	2	2	2	754	377.00	377.00	377	377	ENST00000803661.1	ENSG00000261175.7	LINC02188-214	LINC02188	506	130	506	377	LINC02188:1;ENSG00000304496:1	2	2	2	754	ENST00000803661.1|ENSG00000261175.7|OTTHUMG00000176484.3|-|LINC02188-214|LINC02188|506|
SR0003498	4	2	2	2	2	494	247.00	247.00	247	247	ENST00000782066.1	ENSG00000301821.1	ENST00000782066	ENSG00000301821	446	1	247	247	ENSG00000301821:1;ENSG00000301865:1	2	2	2	494	ENST00000782066.1|ENSG00000301821.1|-|-|ENST00000782066|ENSG00000301821|446|
SR0003499	2	2	2	2	2	217	108.50	108.50	108	109	ENST00000782367.1	ENSG00000301865.1	ENST00000782367	ENSG00000301865	428	320	428	109	ENSG00000279114:1;ENSG00000301865:1	2	2	2	217	ENST00000782367.1|ENSG00000301865.1|-|-|ENST00000782367|ENSG00000301865|428|
SR0003500	4	2	2	2	2	178	89.00	89.00	89	89	ENST00000811047.1	ENSG00000305458.1	ENST00000811047	ENSG00000305458	308	80	168	89	ENSG00000305458:1;ENSG00000305480:1	2	2	2	178	ENST00000811047.1|ENSG00000305458.1|-|-|ENST00000811047|ENSG00000305458|308|
SR0003501	4	2	2	2	2	296	148.00	148.00	148	148	ENST00000806987.1	ENSG00000304894.1	ENST00000806987	ENSG00000304894	802	295	442	148	ENSG00000304894:1;ENSG00000304911:1	2	2	2	296	ENST00000806987.1|ENSG00000304894.1|-|-|ENST00000806987|ENSG00000304894|802|
SR0003502	4	2	2	2	2	270	135.00	135.00	133	137	ENST00000820276.1	ENSG00000306701.1	ENST00000820276	ENSG00000306701	596	382	518	137	ENSG00000306701:1;ENSG00000306738:1	2	2	2	270	ENST00000820276.1|ENSG00000306701.1|-|-|ENST00000820276|ENSG00000306701|596|
SR0003503	4	2	2	2	2	292	146.00	146.00	146	146	ENST00000839391.1	ENSG00000309187.1	ENST00000839391	ENSG00000309187	1017	165	310	146	ENSG00000309187:1;ENSG00000309208:1	2	2	2	292	ENST00000839391.1|ENSG00000309187.1|-|-|ENST00000839391|ENSG00000309187|1017|
SR0003504	4	2	2	2	2	304	152.00	152.00	152	152	ENST00000451295.1	ENSG00000234542.1	ENST00000451295	ENSG00000234542	438	1	152	152	ENSG00000234542:1;ENSG00000286344:1	2	2	2	304	ENST00000451295.1|ENSG00000234542.1|OTTHUMG00000019203.1|OTTHUMT00000050849.1|ENST00000451295|ENSG00000234542|438|
SR0003505	4	2	2	2	2	180	90.00	90.00	90	90	ENST00000837861.1	ENSG00000309021.1	ENST00000837861	ENSG00000309021	755	1	90	90	ENSG00000309021:1;ENSG00000287877:1	2	2	2	180	ENST00000837861.1|ENSG00000309021.1|-|-|ENST00000837861|ENSG00000309021|755|
SR0003506	4	2	2	2	2	622	311.00	311.00	311	311	ENST00000833639.1	ENSG00000308368.1	ENST00000833639	ENSG00000308368	1776	213	523	311	ENSG00000308368:1;ENSG00000308390:1	2	2	2	622	ENST00000833639.1|ENSG00000308368.1|-|-|ENST00000833639|ENSG00000308368|1776|
SR0003507	4	2	2	2	2	962	481.00	481.00	481	481	ENST00000420354.1	ENSG00000231949.1	ENST00000420354	ENSG00000231949	481	1	481	481	ENSG00000231949:1;ENSG00000281104:1	2	2	2	962	ENST00000420354.1|ENSG00000231949.1|OTTHUMG00000037511.1|OTTHUMT00000091345.1|ENST00000420354|ENSG00000231949|481|
SR0003508	4	2	2	2	2	172	86.00	86.00	86	86	ENST00000665732.1	ENSG00000275443.3	ENST00000665732	ENSG00000275443	630	284	369	86	ENSG00000275443:1;ENSG00000259702:1	2	2	2	172	ENST00000665732.1|ENSG00000275443.3|OTTHUMG00000187031.2|OTTHUMT00000519427.1|ENST00000665732|ENSG00000275443|630|
SR0003509	4	2	2	2	2	296	148.00	148.00	144	152	ENST00000733938.1	ENSG00000295920.1	ENST00000733938	ENSG00000295920	454	303	454	152	ENSG00000295920:1;H1-10-AS1:1	2	2	2	296	ENST00000733938.1|ENSG00000295920.1|-|-|ENST00000733938|ENSG00000295920|454|
SR0003510	2	2	2	2	2	173	86.50	86.50	86	87	ENST00000769087.1	ENSG00000248714.8	ZNF652-AS1-209	ZNF652-AS1	1004	136	222	87	ZNF652-AS1:1;NUDT16-DT:1	2	2	2	173	ENST00000769087.1|ENSG00000248714.8|OTTHUMG00000161365.2|-|ZNF652-AS1-209|ZNF652-AS1|1004|
SR0003511	4	2	2	2	2	916	458.00	458.00	458	458	ENST00000767548.1	ENSG00000299931.1	ENST00000767548	ENSG00000299931	1469	880	1337	458	ENSG00000299931:1;ENSG00000299976:1	2	2	2	916	ENST00000767548.1|ENSG00000299931.1|-|-|ENST00000767548|ENSG00000299931|1469|
SR0003512	2	2	2	2	2	262	131.00	131.00	131	131	ENST00000434017.1	ENSG00000233002.3	TBC1D26-AS1-203	TBC1D26-AS1	746	275	405	131	TBC1D26-AS1:1;ENSG00000304446:1	2	2	2	262	ENST00000434017.1|ENSG00000233002.3|OTTHUMG00000059149.1|OTTHUMT00000131040.1|TBC1D26-AS1-203|TBC1D26-AS1|746|
SR0003513	2	2	2	2	2	214	107.00	107.00	107	107	ENST00000665400.1	ENSG00000231881.3	ENST00000665400	ENSG00000231881	25672	149	255	107	ENSG00000231881:1;SCIRT:1	2	2	2	214	ENST00000665400.1|ENSG00000231881.3|OTTHUMG00000014754.2|OTTHUMT00000504949.1|ENST00000665400|ENSG00000231881|25672|
SR0003514	2	2	2	2	2	826	413.00	413.00	409	417	ENST00000837383.1	ENSG00000289842.2	ENST00000837383	ENSG00000289842	2237	649	1065	417	ENSG00000286309:1;ENSG00000289842:1	2	2	2	826	ENST00000837383.1|ENSG00000289842.2|-|-|ENST00000837383|ENSG00000289842|2237|
SR0003515	4	2	2	2	2	239	119.50	119.50	119	120	ENST00000751712.1	ENSG00000236213.5	CDC42EP3-AS1-315	CDC42EP3-AS1	850	1	120	120	ENSG00000236572:1;CDC42EP3-AS1:1	2	2	2	239	ENST00000751712.1|ENSG00000236213.5|-|-|CDC42EP3-AS1-315|CDC42EP3-AS1|850|
SR0003516	4	2	2	2	2	192	96.00	96.00	96	96	ENST00000787998.1	ENSG00000249297.3	LINC02174-203	LINC02174	381	1	96	96	LINC02174:1;ENSG00000302608:1	2	2	2	192	ENST00000787998.1|ENSG00000249297.3|OTTHUMG00000160881.4|-|LINC02174-203|LINC02174|381|
SR0003517	4	2	2	2	2	320	160.00	160.00	160	160	ENST00000569726.2	ENSG00000261231.7	LINC02133-202	LINC02133	2628	1825	1984	160	LINC02133:1;ENSG00000305073:1	2	2	2	320	ENST00000569726.2|ENSG00000261231.7|OTTHUMG00000175450.1|OTTHUMT00000429996.1|LINC02133-202|LINC02133|2628|
SR0003518	4	2	2	2	2	574	287.00	287.00	287	287	ENST00000522134.2	ENSG00000254293.2	ENST00000522134	ENSG00000254293	556	1	287	287	ENSG00000254293:1;ENSG00000306071:1	2	2	2	574	ENST00000522134.2|ENSG00000254293.2|OTTHUMG00000163601.1|OTTHUMT00000374486.1|ENST00000522134|ENSG00000254293|556|
SR0003519	4	2	2	2	2	1640	820.00	820.00	820	820	ENST00000824813.1	ENSG00000307264.1	ENST00000824813	ENSG00000307264	1956	194	1013	820	ENSG00000307264:1;ENSG00000307277:1	2	2	2	1640	ENST00000824813.1|ENSG00000307264.1|-|-|ENST00000824813|ENSG00000307264|1956|
SR0003520	4	2	2	2	2	312	156.00	156.00	156	156	ENST00000447519.2	ENSG00000236304.3	LRRC32-AS1-201	LRRC32-AS1	1498	20	175	156	LRRC32-AS1:1;ENSG00000254810:1	2	2	2	312	ENST00000447519.2|ENSG00000236304.3|OTTHUMG00000150349.1|OTTHUMT00000317739.1|LRRC32-AS1-201|LRRC32-AS1|1498|
SR0003521	4	2	2	2	2	212	106.00	106.00	106	106	ENST00000733858.1	ENSG00000269707.3	ENST00000733858	ENSG00000269707	1072	24	129	106	ENSG00000269707:1;LINC01159:1	2	2	2	212	ENST00000733858.1|ENSG00000269707.3|OTTHUMG00000182993.2|-|ENST00000733858|ENSG00000269707|1072|
SR0003522	4	2	2	2	2	220	110.00	110.00	110	110	ENST00000656547.2	ENSG00000287147.2	ENST00000656547	ENSG00000287147	575	1	110	110	ENSG00000287147:1;ENSG00000306916:1	2	2	2	220	ENST00000656547.2|ENSG00000287147.2|OTTHUMG00000195013.1|OTTHUMT00000523734.1|ENST00000656547|ENSG00000287147|575|
SR0003523	2	2	2	2	2	523	261.50	261.50	261	262	ENST00000653853.1	ENSG00000249859.15	PVT1-237	PVT1	1490	12	273	262	PVT1:1;ENSG00000299923:1	2	2	2	523	ENST00000653853.1|ENSG00000249859.15|OTTHUMG00000164871.168|OTTHUMT00000526142.1|PVT1-237|PVT1|1490|
SR0003524	4	2	2	2	2	216	108.00	108.00	108	108	ENST00000812729.1	ENSG00000230131.7	LINC02641-247	LINC02641	353	1	108	108	LINC02641:1;ENSG00000305771:1	2	2	2	216	ENST00000812729.1|ENSG00000230131.7|OTTHUMG00000019202.11|-|LINC02641-247|LINC02641|353|
SR0003525	4	2	2	2	2	556	278.00	278.00	278	278	ENST00000810815.1	ENSG00000305416.1	ENST00000810815	ENSG00000305416	755	1	278	278	ENSG00000305416:1;ENSG00000305433:1	2	2	2	556	ENST00000810815.1|ENSG00000305416.1|-|-|ENST00000810815|ENSG00000305416|755|
SR0003526	4	2	2	2	2	184	92.00	92.00	92	92	ENST00000715908.1	ENSG00000223597.4	LINC02142-208	LINC02142	640	367	458	92	LINC02142:1;ENSG00000249865:1	2	2	2	184	ENST00000715908.1|ENSG00000223597.4|-|-|LINC02142-208|LINC02142|640|
SR0003527	4	2	2	2	2	496	248.00	248.00	248	248	ENST00000790159.1	ENSG00000302871.1	ENST00000790159	ENSG00000302871	541	294	541	248	ENSG00000302871:1;ENSG00000302887:1	2	2	2	496	ENST00000790159.1|ENSG00000302871.1|-|-|ENST00000790159|ENSG00000302871|541|
SR0003528	4	2	2	2	2	320	160.00	160.00	160	160	ENST00000686681.2	ENSG00000226519.5	LINC00390-210	LINC00390	880	531	690	160	LINC00390:1;SMIM2-AS1:1	2	2	2	320	ENST00000686681.2|ENSG00000226519.5|OTTHUMG00000016828.6|-|LINC00390-210|LINC00390|880|
SR0003529	4	2	2	2	2	278	139.00	139.00	139	139	ENST00000435412.2	ENSG00000237687.3	LINC00686-201	LINC00686	591	1	139	139	LINC00686:1;ENSG00000294525:1	2	2	2	278	ENST00000435412.2|ENSG00000237687.3|OTTHUMG00000032927.1|OTTHUMT00000080056.1|LINC00686-201|LINC00686|591|
SR0003530	4	2	2	2	2	518	259.00	259.00	259	259	ENST00000804900.1	ENSG00000304596.1	ENST00000804900	ENSG00000304596	1133	97	355	259	ENSG00000304596:1;ENSG00000304622:1	2	2	2	518	ENST00000804900.1|ENSG00000304596.1|-|-|ENST00000804900|ENSG00000304596|1133|
SR0003531	4	2	2	2	2	232	116.00	116.00	116	116	ENST00000843032.1	ENSG00000309686.1	ENST00000843032	ENSG00000309686	360	200	315	116	ENSG00000309686:1;ENSG00000309698:1	2	2	2	232	ENST00000843032.1|ENSG00000309686.1|-|-|ENST00000843032|ENSG00000309686|360|
